Price;Location;Spare;Length;Width;Direction;Amenities,,,,
450 triệu; Quốc lộ 14, Xã Đắk Lao, Huyện Đắk Mil, Đắk Nông; 6,000 m²; 60 m; 100 m; --;1
382 triệu; DT 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 150 m²; 33.99 m; 5 m; Nam;1,
550 triệu; Đường 304, Xã Quang Hưng, Huyện An Lão, TP. Hải Phòng; 80 m²; 18 m; 80 m; --;1,
379 triệu; Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 150 m²; 30 m; 4.99 m; --;1,,
899 triệu; Đường Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0,
1.6 tỷ; Đường 387, Xã Tân An Hội, Huyện Củ Chi, TP. Hồ Chí Minh; 100 m²; --; --; --;1,
2 tỷ; Đường Tỉnh lộ 852, An Hòa, TP. Sa Đéc, Đồng Tháp; 101 m²; 20 m; 5.1 m; --;0,
22.5 tỷ; Đường Xuân Thới Thượng 26, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM; 793 m²; 27 m; 29 m; --;0,
595 triệu; Đường Quốc Lộ 13, Phường Minh Hưng, Thị xã Chơn Thành, Bình Phước; 500 m²; 47 m; 11 m; --;0,
1.41 tỷ; Đường Hải Bối, Hải Bối, Đông Anh, Hà Nội; 42 m²; 10 m; 4 m; --;0,
920 triệu; Đường ĐT 826, Xã Long Khê, Huyện Cần Đước, Long An; 125 m²; --; --; --;1,
610 triệu; Đa Phước, Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh; 85 m²; 17 m; 5 m; --;0,
4.9 tỷ; Thị trấn Cam Đức, Huyện Cam Lâm, Khánh Hòa; 643 m²; 33 m; 20 m; Nam;0,,
3.47 tỷ; Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh; 63 m²; --; --; --;1,
1.55 tỷ; Đường Nguyễn Tri Phương, Bửu Hòa, Biên Hòa, Đồng Nai; 64 m²; 8 m; 8 m; --;0,
2.6 tỷ; Đường 21 Lương Sơn, huyện Lương Sơn, Hòa Bình; 1,037 m²; --; --; --;0,
1.4 tỷ; Xã Sông Trầu, Huyện Trảng Bom, Đồng Nai; 1,355 m²; --; --; --;0,
550 triệu; Xã Đồng Sơn, Gò Công Tây, Tiền Giang; 146 m²; 30 m; 5 m; --;0,,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 80 m²; 16 m; 5 m; Đ.Nam;0,,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 78 m²; 15.6 m; 5 m; --;0,,
7.1 tỷ; Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, TP. Hà Nội; 140 m²; --; 7.3 m; --;0,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 76 m²; 15.2 m; 5 m; Bắc;0,,
5 tỷ; Đường Phạm Văn Sáng Xuân Thới Thượng, Hóc Môn, TPHCM; 95 m²; 19 m; 5 m; --;0,,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 75 m²; 15 m; 5 m; Đ.Bắc;0,,
700 triệu; Đường Số 1, Xã Long Hòa, Huyện Cần Đước, Long An; 82 m²; 4.07 m; 20.7 m; --;1,
3.3 tỷ; Phường Quyết Thắng, TP. Biên Hòa, Đồng Nai; 63.40 m²; 14 m; 5 m; Tây;1,,
